,source,MT,emotion_labels,error_types,error_severity
1729,对于恢复期的日子真的有种生不如死的状态超级难受一夜没睡天亮了,"For the days of the recovery period, there is really a state of life that is not as good as death. It's super uncomfortable. I haven't slept all night.",sadness,None,Not at all
1730,@璇璇的姐姐想掐死你从2点到现在压根睡不着了,@xuanxuan's sister wants to strangle you and can't sleep at all since 2 o'clock,anger,Mistranslation,Yes absolutely
1731,庄子说：吾生也有涯，而知也无涯，以有涯随无涯，殆已。胡适是：怕什么真理无穷，进一寸有一寸的欢喜。咱是常做无聊之事，以遣有涯之生。这就是人与人的差距。,"Zhuangzi said: My life has a limit, and my knowledge has no limit. Hu Shi said: fear of infinite truth, every inch of joy. We often do boring things in order to spend our lives. This is the gap between people.",joy,Omission; Mistranslation,Somewhere in between; Yes absolutely
1732,疲惫却无法入睡生物钟一乱这两周以来已经沦落到要靠rainingsounds来拯救失眠了,Tired but unable to fall asleep My biological clock has been messed up for the past two weeks and I have been reduced to relying on rainingsounds to save my insomnia,anger,Mistranslation,Yes absolutely
1733,我妈一直接受不了我变胖的事实她就各种明示暗示和鄙视的让我减肥妈～你以为我不想减肥吗？,"My mom has never been able to accept the fact that I'm getting fat, she made me lose weight with all kinds of explicit hints and contempt Mom~ Do you think I don't want to lose weight?",sadness,None,Not at all
1734,最近天天下雨真的是要被这雨下疯了！,"It's been raining every day recently, and it's really going to drive me crazy!",anger,None,Not at all
1735,这段时间每天上班，分不清周末和工作日，分不清白天晚上，现在我只想有一个可以睡懒觉的早晨,"I go to work every day during this time, I can't distinguish between weekends and working days, I can't distinguish between day and night, and now I just want to have a morning where I can sleep in.",anger,None,Not at all
1736,快！傻屌，饭来了，马上就不好吃了……刚刚饿的肚子咕咕叫现在看到这么一大碗还是震惊了！,"quick! Silly dick, when the meal comes, it won't be delicious right away... My stomach growled just now and I'm still shocked to see such a big bowl!",anger,None,Not at all
1737,官博君，你咋还不出来，我等小胡等得好辛苦,"Guan Bojun, why haven't you come out yet, I waited so hard for Xiao Hu",surprise,None,Not at all
1738,baby睡觉还在叫“麻麻”～每天都闹得不要不要的但听话却很腻害,"The baby is still calling ""Mama"" in sleep~ I make a lot of noise every day, but I'm very tired of being obedient",joy,Mistranslation,Yes absolutely
1739,怎么说挺遗憾的喜欢你像坐滑梯似的一下就滑下去了结束了我坐在最底层想了想还是觉得难以回去至少懒得原路返回也懒得绕一圈重新开始起身拍了拍一屁股灰尘又晃晃悠悠笑着向人潮走去了岁月也不算冗长你我都善良我见到你的时候也还是会笑的,"How to say it's a pity I like you like you're on a slide and you just slide down. It's over. I'm sitting at the bottom and thinking about it, but I still think it's hard to go back. Wandering and laughing, I walked towards the crowd again. The years are not too long. You and I are both kind. When I see you, I will still laugh.",sadness,Omission,Slightly
1740,说是男神会赞？真的吗？@邓超@邓超@邓超@邓超@邓超,Said that a male god would like it? Really? @dengchao@dengchao@dengchao@dengchao@dengchao,joy,Mistranslation,Yes absolutely
1741,居然木有胖次！！买回家，妈咪会不会揍我,"There is actually no fat times! ! Buy it home, will Mommy beat me?",surprise,None,Not at all
1742,找个自己喜欢的可真难！！！！敢不敢快点出现那个能让我好喜欢好喜欢，喜欢他胜过爱自己的？！？！？！？！,It's so hard to find one you like! ! ! ! Do you dare to show up soon the one who can make me like him so much that I like him more than myself? ! ? ! ? ! ? !,anger,None,Not at all
1743,义卖终于完美拉下帷幕，虽然很累，但能帮到有需要的人，再累也值得,"The charity sale finally came to an end. Although it was very tiring, it was worth it if it could help those in need.",joy,None,Not at all
1744,#桃李喜欢#一下雪，北京就成了北平。（by故宫博物院）,"# Taoli Like# As soon as it snows, Beijing becomes Peiping. (by Palace Museum)",joy,Mistranslation,Somewhere in between
1745,李亚玲你真是low爆了，果然，能跟叶璇做朋友的，素质真是好不到哪里去。小人得志的嘴脸就不要显摆了，还理直气壮的要求道歉，真是日了狗了,"Li Yaling, you are really low. Sure enough, the quality of someone who can be friends with Michelle Ye is really not that good. Don't show off the villain's proud face, and ask for an apology righteously, it's really a dog",anger,Mistranslation; Mistranslation,Somewhere in between; Yes absolutely
1746,答辩过了感觉心里的石头一下子就放下了…不过接下来还有操舞的考试，体育的补考，哎，能不能让我轻松点呀,"After the defense, I feel that the stone in my heart is put down all of a sudden... But there are still dance exams and make-up exams for sports. Hey, can you make me relax?",joy,Mistranslation,Somewhere in between
1747,🐎币我睡觉的时候能不能请你不要咬我的脚或者拽我被子我正在梦见我的白马王子你特码舔我脚是什么意思,"🐎Coin, can you please not bite my feet or pull my quilt when I sleep? I'm dreaming of my Prince Charming, what does your special code mean by licking my feet?",anger,Mistranslation; Mistranslation,Yes absolutely; Yes absolutely
1748,带丫蛋儿来棋友会下棋，和一个小朋友对了一局，另一个小朋友记录。完了边复盘叶老师边讲解。俺看了一会，丫蛋儿居然都记得每一手棋,"Bring Yadaner to the Chess Friends Club to play chess, and play against a child, and the other child records. When it was over, Teacher Ye explained. I watched it for a while, but she actually remembers every chess move",surprise,None,Not at all
1749,审个营运证搞了快五个月了。还沒结果！,It has been almost five months since I got an operating license. No result yet!,anger,None,Not at all
1750,谢谢小伙伴们的礼物，拿回家表示手很酸,"Thank you for the gifts, my hands are sore when I take them home",joy,None,Not at all
1751,不害怕远离而慢慢失去联系，只担心生活在一起还不理解的内心。。人与人之间有太多的磨合，如果彼此了解后还不能接受，只能各自安好。。明天你好！工作了才发现什么事情都能解决，但人与人之间的事情只能知而不语，话不能太多，会伤人，话不能太真，会伤心，好吧，少说话说假话。,"Don't be afraid of getting away and lose contact slowly, only worry about the heart that you don't understand when you live together. . There is too much running-in between people. If they can't accept it after they get to know each other, they can only settle down on their own. . Hello Tomorrow! It is only after work that I realize that everything can be solved, but the things between people can only be known without speaking. You can’t talk too much, it will hurt people, and you can’t talk too much, it will be sad. Well, don’t talk and tell lies. .",sadness,Mistranslation; Mistranslation,Somewhere in between; Yes absolutely
1752,总嚷着要找个对象，却从不主动勾搭；没喜欢的人，也懒得接受别人的追求。倒也不是那么‘宁缺毋滥’，却还是不肯委屈将就。有时，感觉单身挺好的；又常常，羡慕别人成双入对。这才是，很多人单身的日常吧。--整日在慵懒和纠结中徘徊，日子就这样耗着~~,"Always clamoring to find a partner, but never take the initiative to hook up; people who don't like them are too lazy to accept the pursuit of others. It is not so 'better lack than abuse', but still unwilling to be wronged. Sometimes, it feels good to be single; often, I envy others when they are in pairs. This is the daily life of many people who are single. --Wandering around in laziness and entanglement all day long, the days are spent like this~~",sadness,Mistranslation; Mistranslation,Somewhere in between; Somewhere in between
1753,大早晨起来开批斗大会也是够了，让我整天都不好了……,"It's enough to get up in the morning to have a critique meeting, it makes me feel bad all day...",anger,None,Not at all
1754,我能说我这辈子都不想干商业了么？！事多是其一，人员整体素质偏低是其二,"Can I say that I never want to do business in my life? ! Too many things are one of them, and the overall quality of personnel is low is the other.",anger,Mistranslation,Slightly
1755,看到他们，想到了以前自己读书的时候…,"When I saw them, I thought of when I used to study by myself...",sadness,Mistranslation,Somewhere in between
1756,越要早起越睡不着这尼玛咋回事！,"The more you get up early, the more you can't sleep. What's wrong with Nima!",anger,Mistranslation,Somewhere in between
1757,收假钱了，郁闷😒😒，赚钱这么不容易！缺德,"I got fake money, I'm depressed😒😒, it's not easy to make money! immoral",anger,Mistranslation,Yes absolutely
1758,每次想要为你唱首歌，但是我只会……,"Every time I want to sing a song for you, but I will only...",sadness,None,Not at all
1759,2015年11月23日的夜晚就像一场不堪回首的恶梦，但是捱过所有痛苦后换来的喜悦让经历的这一切都变得无关紧要，因为你的来到，我们的爱。,"The night of November 23, 2015 was like a nightmare to look back on, but the joy of going through all the pain made it all irrelevant because you came, our love.",joy,None,Not at all
1760,不敢往下看了难受得干脆看个结局得了免得破坏心里的美好,"I don't dare to look down, I feel so uncomfortable, I just watch the ending so as not to destroy the beauty in my heart",sadness,Mistranslation; Mistranslation,Slightly; Somewhere in between
1761,昨天刚考完科一，拿回身份证，晚上就看到领导在群里通知周二上班的时候带上身份证，行李，外出培训5天。也是真巧，可是临出发前，能不能让我见到一个双十一的快递呀,"Yesterday, I just finished taking the exam for Section 1 and got my ID card back. In the evening, I saw the leader in the group telling me to bring my ID card and luggage when I went to work on Tuesday, and went out for training for 5 days. It's also a coincidence, but before departure, can you let me see a double 11 courier?",anger,Mistranslation,Yes absolutely
1762,遇到过的双十一最牛x的店家退了款东西还照样寄了过来受到惊吓了呢,The most awesome store on Double Eleven I have ever encountered returned the money and still sent it over. I was shocked.,fear,None,Not at all
1763,车导在清迈契迪龙寺。车导搞什么鬼啊？美男没拍完又去拍别的剧？！根据你几个月前曾经发过另一个寺庙图片，推断车车新剧跟寺庙有关，莫不是寺庙里的基情戏？,"The car guide is at Wat Chedi Luang in Chiang Mai. What the hell is the driver doing? The handsome man went to another drama before finishing the filming? ! According to another temple picture you posted a few months ago, it is inferred that the new Cheche drama is related to the temple. Could it be a love drama in the temple?",surprise,None,Not at all
1764,装修真是最累的事情了，交代这个那个，结果都给我忘记做，总说看有没有什么办法弥补，能不能专业些，之前就做好,"The decoration is really the most tiring thing. I explained this and that, but I forgot to do it. I always said to see if there is any way to make up for it. If I can be more professional, I will do it before.",anger,Mistranslation; Mistranslation,Somewhere in between; Yes absolutely
1765,天哪噜！有个老爷爷在公交车上拿6p听电子书！婚后试爱：检查官老婆......瞎了我的🐶👀,Oh my gosh! There is an old grandpa who listens to e-books with 6p on the bus! Love trial after marriage: the prosecutor's wife... blinded me 🐶👀,surprise,None,Not at all
1766,上一秒还在吃馄饨，下一秒就睡着了，你也太奇葩了,"One second I was eating wontons, the next I fell asleep, you are too weird",surprise,Mistranslation,Somewhere in between
1767,大家千万不要来湖边商贸学院上学，变态的大半夜居然还有男领导进女生宿舍“检查”，来了也没有看什么就是说说什么你们寝室布局不好之类的话。寝室又不是我们造的！我很怀疑到底是何居心！,"Everyone, please don't come to Hubian College of Commerce and Trade. In the middle of the night, there are still male leaders who go into the girls' dormitory to ""check"". When they come, they don't look at anything but say that your dormitory is not well laid out. The dormitory was not made by us! I wonder what the hell is going on!",anger,None,Not at all
1768,【奇葩蛋糕】天哪，这货竟然是蛋糕,"[Wonderful Cake] Oh my God, this product turned out to be a cake",surprise,None,Not at all
1769,想要荷尔拜因固彩24，打完折还要九八零哎……,"If I want Holbein solid lottery 24, it will cost 980 after the discount...",sadness,Mistranslation,Somewhere in between
1770,早上没有课去机房弄思修考试取最高五次的平均值好吧我只有48分这门课的平均分都有56,"There is no class in the morning. I go to the computer room to get the average of the five exams. Okay, I only have a score of 48. The average score of this class is 56.",sadness,Mistranslation,Slightly
1771,妈呀，现在这计算软件真是越来越高端了，这都可以直接解,"Damn, now this computing software is really getting more and more high-end, it can be solved directly",surprise,Mistranslation,Slightly
1772,睡前我把客厅门关好好的，一会儿出来发现门是开着,"Before going to bed, I closed the living room door, and when I came out, I found the door was open.",surprise,None,Not at all
1773,最近好忙啊！都忘了写微博了╭(°A°`)╮11.14宝贝生日，下午消失了一段时间，提前定好了主题房，用花瓣、蜡烛简单装饰了一下，准备了蛋糕和礼物，不过她都差不多猜到了,"I've been so busy lately! I forgot to write on Weibo╭(°A°`)╮ 11.14, baby’s birthday, disappeared for a while in the afternoon, I booked the theme room in advance, decorated it with petals and candles, prepared cakes and gifts, but she was almost the same guessed",joy,Mistranslation,Somewhere in between
1774,偶然间看到同学传的婚纱照，天哪，这两个人怎么在一起了,"I accidentally saw a wedding photo passed on by my classmates, my God, how did these two get together?",surprise,None,Not at all
1775,看哪个视频后，恶心了2天还有阴隐，靠,"After watching which video, I was nauseous for 2 days and still dark, relying on",anger,Source error; Mistranslation,Somewhere in between; Yes absolutely
1776,三哥开挂不是稀松平常的事情麽？有什么大惊小怪的！,Isn't it a common thing for the third brother to hang up? What a fuss!,anger,Mistranslation,Somewhere in between
1777,吃了一碗饭之后想拉屎，拉屎的过程中被自己臭的吐了，想想也真是恶心，恶心的没谁了。。。,"After eating a bowl of rice, I wanted to poop, and in the process of pooping, I vomited so badly that I felt disgusting when I thought about it. No one is disgusting. . .",surprise,Mistranslation,Somewhere in between
1778,不是告诉我刷上了吗！五个人一起骗我宝宝不开心,"Didn't you tell me to brush it! Five people lied to me together, the baby is not happy",sadness,Mistranslation,Slightly
1779,每次它病我都是最倒霉的，不光要我照顾，等他快好了我还会被传染,"Every time he gets sick, I am the most unlucky. Not only does he need me to take care of him, but I will be infected when he gets better soon.",sadness,Mistranslation,Somewhere in between
1780,已经是第二天输液了，头还是疼的要死，要靠吃止疼片和睡觉来度日…输完液各种想吐头晕反应,"It’s already the second day of infusion, and my head still hurts to death. I have to take painkillers and sleep to get by... After the infusion, I feel nauseous and dizzy.",sadness,None,Not at all
1781,土澳剥夺了我逛街的乐趣～苦…实在是太苦了…,Tuao has deprived me of the joy of shopping~ bitter... it is so bitter...,sadness,None,Not at all
1782,今天收拾我的衣柜，天啊，好多衣服---,"Packing my closet today, oh my god, so many clothes---",surprise,None,Not at all
1783,哪里都不是想躲的地方，只想逃的远远的……好累啊！明天起改变心态，到底老天会带给我多少磨难，我都一一定接住！,"There is no place where I want to hide, I just want to escape far away... I'm so tired! From tomorrow onwards, I will change my mentality. I will definitely catch all the hardships God will bring me!",anger,None,Not at all
1784,原来我身边一直都潜伏着一个四叶草，我今天才发现,"It turns out that there has always been a four-leaf clover lurking around me, and I just discovered it today",surprise,None,Not at all
1785,睡什么睡，去收拾收拾呀，快去呀，每次拖鞋咬到这儿一会儿咬到哪儿，快去收拾呀快去呀,"What to sleep, go and clean up",anger,Mistranslation; Omission,Yes absolutely; Yes absolutely
1786,哎，苦逼学生党真辛苦，起早贪黑，每晚作业写到十二点，早上六点半起床，到了高中还要晚自习，周末只放一天假,"Hey, it’s really hard to force the student party. I get up early and stay in the dark. I write homework every night until 12 o’clock, get up at 6:30 in the morning, and I have to study late in high school. I only have one day off on weekends.",sadness,Mistranslation; Mistranslation,Somewhere in between; Yes absolutely
1787,其实这样的疼不算什么，忍忍就过去了，对嘛,"In fact, this kind of pain is nothing, just bear it and it will pass, right?",joy,None,Not at all
1788,每次两个人晚上聊天发最后一条消息的人一定很爱对方，因为他一定要等屏幕另一面的她放下手机后，才会放下手机。,"Every time two people chat and send the last message at night, the person who sends the last message must love each other very much, because he must wait for her on the other side of the screen to put down the phone before putting down the phone.",joy,Mistranslation,Somewhere in between
1789,自卑深深的自卑今天看书里面又有皮包骨的怪老头在costa碰到一个皮包骨的中年男老是会想起新闻里厌食症的图片我觉得他们都很吓人吓得我喝完咖啡睡不着又自己闷了二两白感觉一周没锻炼浑身又静止了特别怕特别怕自己瘦成的不成人样麻辣比为什么我不能长肉我是真的怕瘦,"Inferiority, deep inferiority complex I'm bored for two or two whites. I feel like I haven't exercised for a week and I'm still. I'm especially afraid that I'll become skinny. Why can't I grow fat? I'm really afraid of being thin.",fear,Omission,Somewhere in between
1790,过了一次就是少一次，你们稳定的站着我往前冲就好了,"After one time, one less time, you just stand stably and I rush forward.",joy,Mistranslation,Somewhere in between
1791,一边洗澡一边还有蚊子咬我，真是醉了,"Mosquitoes bit me while I was taking a shower, I was really drunk",anger,Mistranslation,Yes absolutely
1792,这男的禽兽啊，卧次奥，这女的脑残还是智障，傻逼嘛，难道生活里就只剩下这些了吗，不能干点正事儿嘛，幼女！幼女！幼女哎！尼特么，也真下得去手啊！女性，在一定成程度上仍然属于弱势群体，本该被保护的……这些人也不想想，难道你们都是从石头里爬出来的？⚡,"This man is a beast, lie Ciao, this woman is mentally retarded or mentally retarded, stupid, isn't that the only thing left in life, can't you do something serious, little girl! little girl! little girl! Nit, it's really good to do it! Women, to a certain extent, are still vulnerable groups and should be protected... These people don't even think about it, are you all crawling out of rocks? ⚡",anger,Mistranslation; Mistranslation; Mistranslation,Yes absolutely; Yes absolutely; Yes absolutely
1793,三天两头的要出个远门也不懂自己在干哈好像忙的不得鸟的样子明天去杭州礼拜六去上海米尼玛尼哄这种天得乖乖在家睡觉啊,I have to travel far away every three days and I don't know how busy I am. I will go to Hangzhou tomorrow and go to Shanghai Minimani on Saturday to coax this kind of weather. I have to sleep at home.,anger,Mistranslation; Mistranslation; Mistranslation; Mistranslation,Somewhere in between; Somewhere in between; Yes absolutely; Somewhere in between
1794,就算我心情在不好，我也不会不理你,"Even if I'm in a bad mood, I won't ignore you",anger,None,Not at all
1795,我的天哪！我们的教育是该好好反思了！！！,Oh my god! It's time to rethink our education! ! !,surprise,None,Not at all
1796,越畏惧，越心慌......你只有，勇往直前.......,"The more afraid, the more flustered...you only have to move forward...",joy,None,Not at all
1797,最近这几天，开启忙碌状态。我需要做3个PPT，3个大视频，3个啥都不会的实验报告，1个零基础的科研项目，,"In the past few days, the busy state has been turned on. I need to do 3 PPTs, 3 big videos, 3 experimental reports that I know nothing about, 1 zero-based scientific research project,",joy,None,Not at all
1798,买车的时候我爸说为什么不买奔驰宝马，带女朋友回家的时候我爸说我们这礼金就是十万，我说爸咱们这不都是两万多吗，我爸说就是十万，现在买房子我爸说93平那个太小了，180那个差不多，我想说的是爸你倒是给我钱啊？？！！你以为你儿子有多少钱？！真是坑死儿子不偿命！,"When I bought a car, my dad said why not to buy a Mercedes-Benz BMW. When I brought my girlfriend home, my dad said that our gift money was 100,000 yuan. I said that Dad and ours are more than 20,000 yuan. My dad said it was 100,000 yuan. Now to buy a house, my dad said that 93 square meters is too small, and 180 is about the same. What I want to say is that Dad, you will give me money? ? ! ! How much money do you think your son has? ! It really sucks for my son's life!",anger,Mistranslation; Mistranslation; Mistranslation; Mistranslation,Somewhere in between; Somewhere in between; Somewhere in between; Yes absolutely
1799,淋的一塌糊涂，我为什么要戴眼镜,"It's a mess, why should I wear glasses",anger,Omission,Slightly
1800,以前，我曾抬头仰望着这。感觉你上海，是你让我执着的一直奋斗。,"I've looked up at this before. I feel that you are Shanghai, you are the one who keeps me persistently struggling.",joy,None,Not at all
1801,美的吆，看了潘婷官方唯一潘婷很是激动。,"Beautiful, I was very excited to see Pantene's official only Pantene.",surprise,None,Not at all
1802,为什么一感冒就连起床都没力气了。,Why can't I even get out of bed when I have a cold?,sadness,None,Not at all
1803,想表达的太多，却不想说。晚安，别想我。,"I want to express too much, but I don't want to say it. Good night, don't miss me.",sadness,None,Not at all
1804,妈的想起来我昨天晚上发了个梦梦到冠军秀名次掉到二位了,"Damn, I remembered that I had a dream last night and dreamed that I dropped to the second place in the championship show.",anger,None,Not at all
1805,总是有内种三脚踹不出一个屁的人，你急得要死，人家可以当做什么都没有发生一样。,There are always people who can't kick a fart with three legs. You are so anxious to die that people can pretend that nothing happened.,anger,Mistranslation,Somewhere in between
1806,你妹，拖了一个星期工资好似仲若无其事,"Your sister, it seems like it's nothing to do with a week's delay",anger,Mistranslation; Mistranslation,Yes absolutely; Somewhere in between
1807,整理下房间有种想死的心以后再买买买的时候得时刻提醒自己放不下放不下放不下放不下啊啊啊啊啊,"After tidying up the room, there is a kind of heart that wants to die",anger,Mistranslation; Omission,Yes absolutely; Somewhere in between
1808,真的是够了，就没一件好事降临在我身上。,"It's really enough, and nothing good comes to me.",anger,None,Not at all
1809,为什么眼泪瞬间就掉了下来心还会疼可更多的是害怕和恐惧,"Why do tears fall in an instant and my heart still hurts, but it's more of fear and fear",fear,None,Not at all
1810,好心情都没有了！！！我真的想去看电器啊！郁闷！,The good mood is gone! ! ! I really want to see electrical appliances! depressed!,anger,None,Not at all
1811,你就像黑夜；拥有寂静与群星，你的沉默就是星星的沉默，遥远而明亮……我喜欢你的，仿佛你消失了一样、遥远且哀伤，仿佛你已经死了……彼时！一个字……一个微笑。已经足够：而我会觉得幸福：因那不是真的而觉得幸福。,"You are like the night; with silence and stars, your silence is the silence of the stars, distant and bright... I like you, as if you were gone, distant and sad, as if you were dead... Then! A word...a smile. Enough is enough: and I'll be happy: happy because it's not true.",sadness,Mistranslation,Somewhere in between
1812,生活坏到一定程度就会好起来，因为它无法更坏！许多事，坚持坚持，就过去！,"Life gets better when it's bad enough, because it can't get any worse! A lot of things, stick to it, let it pass!",joy,Mistranslation,Somewhere in between
1813,一生病老十岁。求支招儿。如何治疗失眠。再不睡觉就死了。,"When sick, ten years old. Ask for help. How to treat insomnia. If you don't sleep, you will die.",anger,Mistranslation,Slightly
1814,脑残的点了一个不改点的确定，结果折腾到现在～下手需三思，期待恢复正常使用，快见光明～,"The brain-damaged person clicked on the decision of not changing the point, and the result has been tossing until now~ I need to think twice before starting, I look forward to returning to normal use, and see the light soon~",joy,Mistranslation; Mistranslation; Mistranslation,Yes absolutely; Somewhere in between; Somewhere in between
1815,银联在霓虹的占有率除了我们公司不能刷之外可能已经达到遍布各大商场的程度。今天来了一群棒国人，掏出一张卡来，我一刷发现不能用，仔细一看，明明是写满棒国话的卡居然是银联卡,"In addition to our company's inability to brush, UnionPay's share in neon may have reached the level of all major shopping malls. Today, a group of Bangguo people came and took out a card. I swiped it and found that it couldn’t be used. After a closer look, the card that was written in Bangguo was actually a UnionPay card.",surprise,Mistranslation; Mistranslation,Slightly; Somewhere in between
1816,再坚持坚持！两个月，都可以看不到了！,"Keep on keeping on! For two months, you can't see it!",joy,Mistranslation; Mistranslation,Somewhere in between; Somewhere in between
1817,看上个妹子，然后想干件事就变得好难好难0女孩的心思男孩你别猜，猜来猜去也猜不出来。0IneedAV。,"When you see a girl, and you want to do something, it becomes very difficult. The girl's mind, boy, don't guess, you can't guess it even if you guess. 0IneedAV.",sadness,Mistranslation; Mistranslation,Slightly; Somewhere in between
1818,肚子好痛，脚发软，呜呜～痛屎宝宝啦,"My stomach hurts, my feet are soft, woohoo~ it hurts baby",sadness,Mistranslation,Somewhere in between
1819,白天得干活，晚上常做梦，累死姐了,"I have to work during the day, and I often dream at night. I am exhausted.",anger,None,Not at all
1820,这么晚我要被气屎了，我的耳机竟然坏了，我的小心脏呐在我心里耳机可是胜过爪机的神,"I'm going to be pissed so late, my earphones are broken, my little heart, in my heart, earphones are better than claw machines",anger,Mistranslation; Mistranslation,Slightly; Somewhere in between
1821,最新消息：路透社报道美国现在认为俄罗斯战斗机是在叙利亚领空被击中爆炸的！,UPDATE: Reuters reports that the US now believes a Russian fighter jet was hit and exploded in Syrian airspace!,surprise,None,Not at all
1822,体个测居然被拍成了忍者神龟！！忍不了了！！,The body test was actually photographed as a Teenage Mutant Ninja Turtle! ! I can't take it anymore! !,anger,None,Not at all
1823,今天把所有节目都看完了看到大屏幕上出现自己的照片忽然意识到即将要告别四年的舞台,I finished watching all the shows today and saw my picture on the big screen. Suddenly I realized that I was about to say goodbye to the four-year stage.,sadness,None,Not at all
1824,快下班了！家长才来找老师！为什么和专业课老师谈那么久！！！真是醉了！现在还要等着不能下班,It's almost time for get off work! Parents come to find teachers! Why talk to the professional teacher for so long! ! ! Really drunk! Still waiting to get off work,anger,Mistranslation; Mistranslation,Somewhere in between; Yes absolutely
1825,尼玛，又到这个点了，好想明天能坐交通车,"Nima, it's this point again, I really want to be able to take the shuttle bus tomorrow",sadness,Mistranslation; Mistranslation,Yes absolutely; Yes absolutely
1826,睡不着，却觉得很困，困还是睡不着，是我想太多吗？心情低落，一点也不开心,"Can't sleep, but feel very sleepy, sleepy or can't sleep, am I thinking too much? Feeling down, not happy at all",anger,None,Not at all
1827,「外面下着，雨犹如我心血在滴」………大半夜睡不着发神经了，哈哈,"""It's raining outside, it's like the rain is dripping from my heart""... I can't sleep in the middle of the night and get nervous, haha",joy,Mistranslation,Somewhere in between
1828,我就是佩服韩国人创造美的决心，这样的神器都能想到,"I just admire the determination of Koreans to create beauty, such an artifact can be imagined",surprise,Mistranslation,Somewhere in between
1829,人生不如意，十之八九，没什么大不了的,"Life is unsatisfactory, nine times out of ten, it's no big deal",joy,None,Not at all
1830,知道生命仅剩的时候也许会觉得世上的一切都是风轻云淡无所畏惧抱着一切都是大不了，大不了一死只有死亡真正接近的时候才会越害怕越不安越看清自己想要什么遗憾这个东西真可怕啊,"When you know that there is only life left, you may feel that everything in the world is light and cloudless. Holding everything without fear is a big deal. Death is a big deal. Only when death is really close will you be more afraid, more uneasy, and more aware of what regrets you want. This thing is scary",fear,Source error; Mistranslation,Slightly; Somewhere in between
1831,这一幕想起来壁花少年的结尾有的人步入17岁就忘了自己16岁的样子青春终将是故事但至少现在这些是正在发生的我正和我爱的人在一起听着那首歌我知道自己不再是一个悲伤的故事这一刻我发誓我们就是永恒#防弹少年团##花樣年華pt.2#,"This scene reminds me of the end of The Perks of Being a Wallflower. Some people turn 17 and forget what they looked like at 16. Youth will be a story, but at least it's happening now I know I'm no longer a sad story at this moment I swear we are forever #BTS##In the Mood for Love pt.2#",joy,Omission,Yes absolutely
1832,"分享祖国制造的崇迪佛牌。祖国的仿造技术均为天人，可是佛牌背面的金纳班川经文居然能翻译成英文字母。仔细看看可见Iwilltobe.....me,you.and,的字母等等。戴了这样的牌会有什么效果呢？","Share the Somdej amulet made in the motherland. The imitation techniques of the motherland are all heaven and man, but the Jinnapanchuan scriptures on the back of the amulet can be translated into English letters. Take a closer look at the letters visible Iwilltobe.....me, you.and, etc. What would be the effect of wearing such a card?",joy,Source error; Omission,Somewhere in between; Somewhere in between
1833,长辈的决定和身边的人哪个更重要？是因为身边的人在心中根本不重要才会听长辈的话离开？还是还是……想不出还是什么可能真不是那个重要的人。,"Which is more important, the decision of the elders or the people around you? Is it because the people around you are not important in your heart at all, so you listen to your elders and leave? Or still... can't think of something that might not really be that important person.",sadness,None,Not at all
1834,数死早，可我不是傻！我又不是来给12306做网页测试的！,"It's too early to count, but I'm not stupid! I'm not here to test the web page for 12306!",anger,None,Not at all
1835,回来上班第一天，午睡就睡到下午4点，以至于现在还睡不着，当然影响我睡眠的还有体重称上越来越大的数字,"On the first day I came back to work, I slept until 4:00 pm, so I still can’t fall asleep. Of course, what affects my sleep is the increasing number on the weight scale.",anger,Omission,Somewhere in between
1836,为什么今天会发这么多微博呢？那就是因为有一件事耗尽了我所有的耐心那就是！哈！尔！滨！工！业！大！学！的校！内！网！,Why are there so many Weibo posts today? That's because one thing drained all my patience and it was! what! you! coast! work! industry! Big! study! school! Inside! network!,anger,Mistranslation,Somewhere in between
1837,小米出生至今第一次要离开他一天，不负责他吃饭睡觉，有点小担心。和小米奶奶约定，她不打电话给我，我就不打给她，她也让我放心，小米也同意了今天跟奶奶，看似很完美呀！希望今天一切顺利吧，希望这是一个好的开始吧，真真真期待晚上的约会,"It was the first time that Xiaomi had been away from him for a day since he was born. He was not responsible for his eating and sleeping, so he was a little worried. I made an agreement with Grandma Millet that if she didn't call me, I wouldn't call her. She also reassured me. Millet also agreed to talk to Grandma today, which seems perfect! Hope all goes well today, hope it's a good start, really looking forward to the date tonight",joy,Mistranslation,Somewhere in between
1838,都已经穷到没钱开饭了，为什么还想着买书呢…而且刚买回来的书也没看完……但是又好像买……,"I'm already so poor that I don't have money to cook, why do I still think about buying a book...and I haven't finished reading the book I just bought...but it seems like I'm buying...",anger,Mistranslation,Slightly
1839,烦米日眼的一天背背背我想说一句我就是一学渣才会在你们公司上班,"I'm tired of Mi Riyan's day, I want to say that I am a scumbag to work in your company",anger,Mistranslation,Yes absolutely
1840,12月六号考试，7号就去考察，我压力也是好大,"The exam will be on the 6th of December, and I will be there on the 7th. I am also under a lot of pressure.",sadness,Mistranslation,Slightly
